segment/predict: weights=['yolov5s-seg.pt'], source=data/video/Gurkenvideo.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=runs/predict-seg, name=exp, exist_ok=False, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1, retina_masks=False
YOLOv5 🚀 v7.0-365-g12b577c8 Python-3.10.12 torch-2.4.0+cu121 CUDA:0 (Tesla T4, 15102MiB)

Downloading https://github.com/ultralytics/yolov5/releases/download/v7.0/yolov5s-seg.pt to yolov5s-seg.pt...
100% 14.9M/14.9M [00:00<00:00, 32.7MB/s]

Fusing layers... 
YOLOv5s-seg summary: 224 layers, 7611485 parameters, 0 gradients, 26.4 GFLOPs
WARNING ⚠️ NMS time limit 0.550s exceeded
video 1/1 (712/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 potted plant, 12.3ms
video 1/1 (713/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 bowl, 12.3ms
video 1/1 (744/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cow, 12.3ms
video 1/1 (746/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 horse, 12.2ms
video 1/1 (747/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cow, 12.3ms
video 1/1 (749/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 horse, 12.3ms
video 1/1 (760/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.9ms
video 1/1 (761/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (767/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (769/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 12.3ms
video 1/1 (770/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (771/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (772/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (774/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.6ms
video 1/1 (775/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (776/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 elephant, 12.2ms
video 1/1 (777/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cow, 12.3ms
video 1/1 (778/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (780/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (785/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 13.5ms
video 1/1 (786/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 12.3ms
video 1/1 (790/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cat, 12.3ms
video 1/1 (856/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 2 bottles, 12.3ms
video 1/1 (857/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 4 bottles, 12.3ms
video 1/1 (858/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 5 bottles, 12.3ms
video 1/1 (868/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 bottle, 12.3ms
video 1/1 (892/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 broccoli, 12.3ms
video 1/1 (933/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 18.7ms
video 1/1 (934/1416) /content/yolov5/data/video/Gurkenvideo.mp4: 480x640 1 cake, 14.5ms
